CustomerID,CompanyName,ContactName,City,Phone
CUST00001,บริษัท บริษัท ศรีตะวันเฟอร์นิเจอร์ จำกัด จำกัด,นาทภูวพัฒน์ แจ้งสว่าง,พระนครศรีอยุธยา,051-702937
CUST00002,บริษัท ตันยาและแหยมศิริ จำกัด,อุลัยพร สงประเสริฐ,นครราชสีมา,+66 2610 6607
CUST00003,บริษัท บริษัท นามขำ จำกัด จำกัด,รมิตา เขียวขุ้ย,แม่สอด,+66 5491 7397
CUST00004,บริษัท บจก.ธาราธรและเพื่อน จำกัด,พศร นักสำหรวจ,นครราชสีมา,+66 (0) 891 263 107
CUST00005,บริษัท บริษัท ถนัดอักษร จำกัด จำกัด,เฉลิมพล เนื้อนุ่ม,นครสวรรค์,0-3110-3942
CUST00006,บริษัท ห้างหุ้นส่วนจำกัด ธีวร จำกัด,มารีนี เจริญรัมย์,สงขลา,+66 (0) 848 131 464
CUST00007,บริษัท บริษัท ซาซุม จำกัด จำกัด,เยาวรัตน์ บุนยะตีรณะ,เจ้าพระยาสุรศักดิ์,+66 7042 1929
CUST00008,บริษัท มูลนิธิกุมารบุญ จำกัด,ธารา เนตร์มณี,สุราษฎร์ธานี,037379409
CUST00009,บริษัท สมาคมวิลาสินี จำกัด,ภานุพล นิติสาขา,พัทยา,+66 (0) 4899 1813
CUST00010,บริษัท ห้างหุ้นส่วนจำกัด ทองลาภ จำกัด,นาวีตา เธียรายัน,อ้อมน้อย,057-136040
CUST00011,บริษัท กองทุนรวมแต้กุลเอเยนซี จำกัด (มหาชน) จำกัด,ดวงพร ทรงโกมล,ภูเก็ต,0 7632 8020
CUST00012,บริษัท บริษัท ชำนาญวาดเซอร์วิส จำกัด จำกัด,เอกชัย ตวงทอง,นครสวรรค์,+662 096 8492
CUST00013,บริษัท ห้างหุ้นส่วนสามัญ นากกนก จำกัด,ภัคชัญญา แน่นดุจป้อม,ตรัง,055-501657
CUST00014,บริษัท บริษัท ทองสีไพล จำกัด (มหาชน) จำกัด,พัชรีนิษฐ์ ทับทิมไทย,พิษณุโลก,0 5091 9577
CUST00015,บริษัท บริษัท ตัณสถิตย์ จำกัด จำกัด,ชัฎชา นิลเสนา,สมุทรสาคร,0 2583 5130
CUST00016,บริษัท บริษัท ถนัดพิมพการ จำกัด จำกัด,วิชชากร เตชะกำพุ,นนทบุรี,093 693 9790
CUST00017,บริษัท ห้างหุ้นส่วนจำกัด แหยมศิริเอเยนซี จำกัด,กระสุน ทองลาภ,เกาะสมุย,04 154 4870
CUST00018,บริษัท ห้างหุ้นส่วนสามัญ นพตระกูลแลบ จำกัด,สุรนีย์ นิษประปัญจ์,แม่สอด,0 4191 3093
CUST00019,บริษัท บมจ.บุนยะตีรณะการบัญชี จำกัด,โชคภาดล พรรษาสกุล,ตรัง,0-3778-9950
CUST00020,บริษัท สมาคมขอหมั่นกลาง จำกัด,นพ ศรีเผด็จ,ยะลา,063 444 1790
CUST00021,บริษัท บริษัท นฤทุกข์ก่อสร้าง จำกัด จำกัด,ศรายุธ นาควงษ์,สงขลา,059 455131
CUST00022,บริษัท บริษัท นาควงษ์เฟอร์นิเจอร์ จำกัด (มหาชน) จำกัด,ศรินยา ถนัดภาษา,พระนครศรีอยุธยา,+66 888 798 154
CUST00023,บริษัท มูลนิธิไม้แดง จำกัด,เทียมศักดิ์ ขันธุลา,พระนครศรีอยุธยา,03 891 1215
CUST00024,บริษัท บริษัท ธรรมทินนาเอ็นจิเนียริ่ง จำกัด จำกัด,สนั่น นกทอง,ปากเกร็ด,+66 (0) 5164 2136
CUST00025,บริษัท บริษัท สงประเสริฐ จำกัด จำกัด,ฌาฆีภัตฐ์ หอมสิน,เจ้าพระยาสุรศักดิ์,+663 480 7026
CUST00026,บริษัท ติระคมน์และบุนยะตีรณะ จำกัด,ประสิทธิ์ ทองแท้,นครศรีธรรมราช,0 3531 6785
CUST00027,บริษัท ศรีตะวันคอนสตรัคชั่น จำกัด,บุญญามี ธรรมเมธา,ยะลา,+66 962 486 780
